postcode, Installations Quantity Total ,SGU Rated Output In kW Total,latitude,longitude
3749,603,3185.702,-36.3378001,146.8536008
3750,3397,21893.92,-37.5891893,144.9942305
3751,16,150.51,-37.5365105,145.0603633
3752,2625,13938.351,-37.6377485,145.082419
3753,623,4048.567,-37.4822825,144.9832134
3754,5829,32302.4,-37.5963626,145.1265477
3755,36,232.89,-37.5474779,145.1486206
3756,2172,12189.506,-37.4071549,144.9832134
3757,1320,7893.169,-37.4666309,145.1596592
3758,361,1977.444,-37.3787648,145.0383133
3759,202,1259.844,-37.6400391,145.2424941
3760,68,339.641,-37.6267001,145.2867055
3761,226,1287.177,-37.5919774,145.2811778
3762,23,140.935,-37.3564385,144.9721978
3763,337,1744.727,-37.5087273,145.3696628
3764,1423,8014.532,-37.2531649,144.9171412
3765,689,3808.964,-37.8083883,145.353065
3766,110,573.49,-37.8194936,145.3862638
3767,69,390.335,-37.8421584,145.3420015
3770,480,4132.683,-37.7057909,145.4250118
3775,629,4220.343,-37.6158673,145.3807298
3777,1524,8823.404,-37.5848772,145.5136433
3778,45,228.82,-37.553614,145.6467583
3779,135,942.865,-37.6356131,146.0696009
3781,438,2170.112,-37.9473069,145.5025595
3782,895,4794.958,-37.9137981,145.4582381
3783,343,1993.506,-37.9524044,145.6023644
3785,2,11.98,-37.8782906,145.3171139
3786,139,787.385,-37.8759058,145.3309395
3787,61,329.36,-37.8645935,145.353065
3788,140,819.416,-37.8532703,145.3751961
3789,18,124.57,-37.8963853,145.3641298
3791,125,787.413,-37.9051015,145.4111713
3792,114,614.529,-37.8887708,145.3973329
3793,443,3100.467,-37.8689357,145.4360858
3795,221,1879.876,-37.8342877,145.4305486
3796,998,5095.036,-37.7791563,145.3917982
3797,504,3035.08,-37.8447909,145.702282
3799,814,4173.916,-37.6990844,145.8023118
3802,2928,13595.057,-37.9780214,145.2590707
3803,1490,11074.166,-38.0069505,145.2756505
